px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
20.378	11.795	4.6406	1.4778	0.462178	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027	4.06122
20.3981	12.0326	4.7319	1.49629	0.454998	19.966	11.9688	20.2687	12.0692	0.093487	4.83159	3.17214
20.3835	12.336	4.85529	1.53521	0.468788	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968	1.84782
20.3507	12.5502	4.67446	1.57609	0.488675	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451	4.57054
20.3674	12.8037	4.71607	1.59581	0.485073	20.498	12.8924	20.254	12.7933	-0.28939	4.81605	1.30821
20.361	13.0215	4.64773	1.62038	0.486936	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428	2.05043
20.3238	13.2405	4.62179	1.65093	0.49181	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918	1.14539
20.2899	13.4661	4.61573	1.67902	0.494471	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072	1.39203
20.2603	13.7436	4.7136	1.70665	0.497334	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892	1.44079
20.2139	13.9571	4.63121	1.73821	0.505454	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374	1.20892
20.1515	14.2298	4.72636	1.77135	0.512291	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	0.793457
20.0849	14.4501	4.69628	1.80321	0.5182	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	1.67275
19.9719	14.7222	4.8041	1.84696	0.533098	19.781	14.773	19.934	14.6897	-1.30687	4.62805	2.30895
19.9046	14.9346	4.7834	1.87145	0.529733	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	3.05992
19.8656	15.1585	4.76094	1.88718	0.520997	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	1.40202
19.7569	15.3491	4.57324	1.93927	0.554065	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	9.70292
